method	cores	time
STAR-30m	8	358 
STAR-30m	8	363 
STAR-30m	8	354 
STAR-30m	8	352 
STAR-30m	11	289 
STAR-30m	12	276 
STAR-30m	12	274 
STAR-30m	12	275 
STAR-30m	16	234 
STAR-30m	16	236
STAR-30m	16	234 
STAR-30m	20	212 
STAR-30m	20	210 
STAR-30m	20	216 
STAR-30m	22	206 
STAR-30m	22	203 
STAR-30m	22	203 
Salmon-30m	8	0 
Salmon-30m	8	843 
Salmon-30m	8	844 
Salmon-30m	8	821 
Salmon-30m	8	820 
Salmon-30m	11	628 
Salmon-30m	12	589 
Salmon-30m	12	600 
Salmon-30m	12	598 
Salmon-30m	16	499 
Salmon-30m	16	496 
Salmon-30m	16	491 
Salmon-30m	20	434 
Salmon-30m	20	439 
Salmon-30m	20	438 
Salmon-30m	22	419 
Salmon-30m	22	414 
Salmon-30m	22	406 
