date	method	threads	max_rss_kb	elapsed_s	status
2026-01-25T01:38:28+0200	STAR-30	5	31536520	587	OK
2026-01-25T01:48:41+0200	STAR-30	5	31536548	552	OK
2026-01-25T01:58:34+0200	STAR-30	5	31536720	533	OK
2026-01-25T02:08:47+0200	STAR-30	5	31536532	553	OK
2026-01-25T02:17:25+0200	STAR-30	6	31776376	458	OK
2026-01-25T02:26:05+0200	STAR-30	6	31775980	460	OK
2026-01-25T02:34:33+0200	STAR-30	6	31775820	448	OK
2026-01-25T02:42:05+0200	STAR-30	7	32015520	391	OK
2026-01-25T02:49:39+0200	STAR-30	7	32015336	394	OK
2026-01-25T02:57:11+0200	STAR-30	7	32015332	392	OK
2026-01-25T03:04:06+0200	STAR-30-no-SAM	5	Commandterminatedbysignal214014272	13	FAIL
2026-01-25T03:13:39+0200	STAR-30-no-SAM	5	31062632	522	OK
2026-01-25T03:23:19+0200	STAR-30-no-SAM	5	31063388	520	OK
2026-01-25T03:33:03+0200	STAR-30-no-SAM	5	31063384	523	OK
2026-01-25T03:43:04+0200	STAR-30-no-SAM	5	31093144	541	OK
2026-01-25T03:48:56+0200	STAR-30-no-SAM-no-sort	5	Commandterminatedbysignal225560000	24	FAIL
2026-01-25T03:57:37+0200	STAR-30-no-SAM-no-sort	5	31023436	479	OK
2026-01-25T04:06:31+0200	STAR-30-no-SAM-no-sort	5	31022976	473	OK
2026-01-25T04:15:48+0200	STAR-30-no-SAM-no-sort	5	30871296	497	OK
